Number of deaths from drought;Number of people injured from drought;Number of people affected from drought;Number of people left homeless from drought;Number of total people affected by drought;Reconstruction costs from drought;Insured damages against drought;Total economic damages from drought;Death rates from drought;Injury rates from drought;"Number of people affected by drought per 100,000";Homelessness rate from drought;"Total number of people affected by drought per 100,000";Number of deaths from earthquakes;Number of people injured from earthquakes;Number of people affected by earthquakes;Number of people left homeless from earthquakes;Number of total people affected by earthquakes;Reconstruction costs from earthquakes;Insured damages against earthquakes;Total economic damages from earthquakes;Death rates from earthquakes;Injury rates from earthquakes;"Number of people affected by earthquakes per 100,000";Homelessness rate from earthquakes;"Total number of people affected by earthquakes per 100,000";Number of deaths from disasters;Number of people injured from disasters;Number of people affected by disasters;Number of people left homeless from disasters;Number of total people affected by disasters;Reconstruction costs from disasters;Insured damages against disasters;Total economic damages from disasters;Death rates from disasters;Injury rates from disasters;"Number of people affected by disasters per 100,000";Homelessness rate from disasters;"Total number of people affected by disasters per 100,000";Number of deaths from volcanic activity;Number of people injured from volcanic activity;Number of people affected by volcanic activity;Number of people left homeless from volcanic activity;Number of total people affected by volcanic activity;Reconstruction costs from volcanic activity;Insured damages against volcanic activity;Total economic damages from volcanic activity;Death rates from volcanic activity;Injury rates from volcanic activity;"Number of people affected by volcanic activity per 100,000";Homelessness rate from volcanic activity;"Total number of people affected by volcanic activity per 100,000";Number of deaths from floods;Number of people injured from floods;Number of people affected by floods;Number of people left homeless from floods;Number of total people affected by floods;Reconstruction costs from floods;Insured damages against floods;Total economic damages from floods;Death rates from floods;Injury rates from floods;"Number of people affected by floods per 100,000";Homelessness rate from floods;"Total number of people affected by floods per 100,000";Number of deaths from mass movements;Number of people injured from mass movements;Number of people affected by mass movements;Number of people left homeless from mass movements;Number of total people affected by mass movements;Reconstruction costs from mass movements;Insured damages against mass movements;Total economic damages from mass movements;Death rates from mass movements;Injury rates from mass movements;"Number of people affected by mass movements per 100,000";Homelessness rate from mass movements;"Total number of people affected by mass movements per 100,000";Number of deaths from storms;Number of people injured from storms;Number of people affected by storms;Number of people left homeless from storms;Number of total people affected by storms;Reconstruction costs from storms;Insured damages against storms;Total economic damages from storms;Death rates from storms;Injury rates from storms;"Number of people affected by storms per 100,000";Homelessness rate from storms;"Total number of people affected by storms per 100,000";Number of deaths from landslides;Number of people injured from landslides;Number of people affected by landslides;Number of people left homeless from landslides;Number of total people affected by landslides;Reconstruction costs from landslides;Insured damages against landslides;Total economic damages from landslides;Death rates from landslides;Injury rates from landslides;"Number of people affected by landslides per 100,000";Homelessness rate from landslides;"Total number of people affected by landslides per 100,000";Number of deaths from fog;Number of people injured from fog;Number of people affected by fog;Number of people left homeless from fog;Number of total people affected by fog;Reconstruction costs from fog;Insured damages against fog;Total economic damages from fog;Death rates from fog;Injury rates from fog;"Number of people affected by fog per 100,000";Homelessness rate from fog;"Total number of people affected by fog per 100,000";Number of deaths from wildfires;Number of people injured from wildfires;Number of people affected by wildfires;Number of people left homeless from wildfires;Number of total people affected by wildfires;Reconstruction costs from wildfires;Insured damages against wildfires;Total economic damages from wildfires;Death rates from wildfires;Injury rates from wildfires;"Number of people affected by wildfires per 100,000";Homelessness rate from wildfires;"Total number of people affected by wildfires per 100,000";Number of deaths from extreme temperatures;Number of people injured from extreme temperatures;Number of people affected by extreme temperatures;Number of people left homeless from extreme temperatures;Number of total people affected by extreme temperatures;Reconstruction costs from extreme temperatures;Insured damages against extreme temperatures;Total economic damages from extreme temperatures;Death rates from extreme temperatures;Injury rates from extreme temperatures;"Number of people affected by extreme temperatures per 100,000";Homelessness rate from extreme temperatures;"Total number of people affected by extreme temperatures per 100,000";Number of deaths from glacial lake outbursts;Number of people injured from glacial lake outbursts;Number of people affected by glacial lake outbursts;Number of people left homeless from glacial lake outbursts;Number of total people affected by glacial lake outbursts;Reconstruction costs from glacial lake outbursts;Insured damages against glacial lake outbursts;Total economic damages from glacial lake outbursts;Death rates from glacial lake outbursts;Injury rates from glacial lake outbursts;"Number of people affected by glacial lake outbursts per 100,000";Homelessness rate from glacial lake outbursts;"Total number of people affected by glacial lake outbursts per 100,000";Total economic damages from disasters as a share of GDP;Total economic damages from drought as a share of GDP;Total economic damages from earthquakes as a share of GDP;Total economic damages from extreme temperatures as a share of GDP;Total economic damages from floods as a share of GDP;Total economic damages from landslides as a share of GDP;Total economic damages from mass movements as a share of GDP;Total economic damages from storms as a share of GDP;Total economic damages from volcanic activity as a share of GDP;Total economic damages from volcanic activity as a share of GDP;Entity;Year;deaths_rate_per_100k_storm;injured_rate_per_100k_storm;total_affected_rate_per_100k_all_disasters
0;0;0;0;0;;;;0;0;0;0;0;210;200;0;0;200;;;;2.572.748.457;2.381.235.861;0;0;2.381.235.861;215.1;200;0;0;200;;;;2.633.469.972;2.381.235.861;0;0;;0;0;0;0;0;;;;0;0;0;0;0;5.1;0;0;0;0;;;;0.060721514;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;Afghanistan;1950;0;0;2.381.235.861
0;0;4800;0;4800;0;0;20;0;0;4.406.095.098;0;4.406.095.098;0;0;0;0;0;0;0;0;0;0;0;0;0;10.7;0;4800;0;4800;0;0;20;0.11212407;0;4.406.095.098;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;10.7;0;0;0;0;0;0;0;0.11212407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0.001419558;0.001419558;0;0;0;0;0;0;0;0;Afghanistan;1960;0;0;4.406.095.098
0;0;0;0;0;0;0;0;0;0;0;0;0;6.1;1.5;9000;0;9001.5;0;0;0;0.04796007;0.012721567;6.953.565.634;0;6.954.837.791;48.2;15.5;68404.4;750;69169.9;0;0;5200;0.39167353;0.117661227;5.412.904.467;5.621.767.484;;0;0;0;0;0;0;0;0;0;0;0;0;0;32.1;14;59404.4;750;60168.4;0;0;5200;0.256567491;0.10493966;4.717.547.904;5.621.767.484;4.774.814.975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;10;0;0;0;0;0;0;0;0.087145969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0.157575752;0;0;0;0.157575752;0;0;0;0;0;Afghanistan;1970;0;0;5.470.298.754
0;0;0;0;0;0;0;0;0;0;0;0;0;51.3;351.8;6244;658;7253.8;0;0;900;0.398498668;2.742.558.185;4.905.305.337;524.804.594;5.704.365.749;58.3;351.8;25344;658;26353.8;0;0;26900;0.458817496;2.742.558.185;2.100.912.551;524.804.594;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19100;0;19100;0;0;26000;0;0;1.610.382.018;0;1.610.382.018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;7;0;0;0;0;0;0;0;0.060318828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;Afghanistan;1980;0;0;2.180.818.593
0;0;0;0;0;0;0;0;0;0;0;0;0;742.6;358.3;27168.5;7702.5;35229.3;0;0;2001;3.814.559.032;1.835.905.817;1.466.656.852;3.870.140.997;187.203.001;1038.9;394.7;43624;9578.5;53597.2;0;20;8401;5.830.221.618;202.323.454;2.631.364.148;5.099.116.474;;0;0;0;0;0;0;0;0;0;0;0;0;0;199;30;16435.5;1765;18230.5;0;20;6400;1.414.652.116;0.151991083;1.163.203.424;1.159.678.705;1.280.691.205;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;0;0;0;73.9;6.4;0;111;117.4;0;0;0;0.418516502;0.03533764;0;0.692967713;0.728305353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22.4;0;20;0;20;0;0;0;0.176171657;0;0.150387247;0;0.150387247;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;Afghanistan;1990;0.006322311;0;3.161.508.141
3.7;0;476000;0;476000;0;0;5;0.017805582;0;2.061.379.726;0;2.061.379.726;123.6;151.2;9074;1569.5;10794.7;0;0;5;0.544497296;0.66248279;4.007.487.217;6.585.321.045;47.322.676;448.7;197.2;567969.4;3909.5;572076.1;0;0;2511;1.796.376.012;0.833039766;2.427.928.053;1.566.736.103;;0;0;0;0;0;0;0;0;0;0;0;0;0;117.5;26.7;13537.5;2340;15904.2;0;0;2000;0.454937544;0.101031226;498.963.931;9.082.039.984;5.907.946.431;0;0;0;0;0;0;0;0;0;0;0;0;0;33.1;0;2265.6;0;2265.6;0;0;500;;;8.831.371.326;0;8.831.371.326;4.3;1.1;30042.1;0;30043.2;0;0;0;0.016326858;0.003873921;1.136.788.745;0;1.136.827.484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166.5;18.2;37050.2;0;37068.4;0;0;1;0.63459965;0.065651829;1.540.668.159;0;1.541.324.678;0;0;0;0;0;0;0;0;;;;;;0.024211525;0;0.0000805;0;0.01607835;0;0;0.008052648;0;0;Afghanistan;2000;0.128209081;0;2.444.428.454
0;0;1525000;0;1525000;0;0;14200;0;0;4.212.833.017;0;4.212.833.017;21.7;5830.5;339;3627.5;9797;0;0;0;0.066190219;1.694.865.916;1.050.511.311;1.059.994.752;2.859.911.799;263.1;5918.4;1567389.9;7790.5;1581098.8;0;0;14800;0.793281579;1.722.862.057;4.337.928.186;2.302.358.648;;0;0;0;0;0;0;0;0;0;0;0;0;0;137;60.7;38113.9;3422;41596.6;0;0;300;0.410915311;0.190838335;1.127.808.103;1.027.571.892;1.232.473.675;0;0;0;0;0;0;0;0;0;0;0;0;0;15.1;1.5;904.5;0;906;0;0;0;;;2.492.010.139;0;2.496.425.455;84.8;18.9;3032.5;741;3792.4;0;0;300;0.257424114;0.062885608;8.771.837.459;2.147.920.031;109.826.431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;6.8;0;0;6.8;0;0;0;0.014441128;0.021822149;0;0;0.021822149;0;0;0;0;0;0;0;0;;;;;;0.082727539;0.079756046;0;0;0.001464494;0.001506999;0;0;0;0;Afghanistan;2010;0.044310808;0.004415316;4.378.180.393
1100;0;0;0;0;;;;0.832564063;0;0;0;0;10;0;0;0;0;;;;0.00749502;0;0;0;0;1111.7;0;0;0;0;;;;0.841394126;0;0;0;;1.7;0;0;0;0;;;;0.001335043;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;Africa;1900;0;0;0
8500;0;3200;0;3200;;;;5.988.295.909;0;2.254.417.284;0;2.254.417.284;1.2;0;0;0;0;;;;0.000845406;0;0;0;0;8501.2;0;3200;0;3200;;;;5.989.141.316;0;2.254.417.284;0;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;Africa;1910;0;0;2.254.417.284
2400;0;0;0;0;;;;1.544.763.976;0;0;0;0;1.2;0;0;0;0;;;;0.000767336;0;0;0;0;2701.2;0;0;0;0;;;;1.735.229.295;0;0;0;;0;0;0;0;0;;;;0;0;0;0;0;300;0;0;0;0;;;;0.189697983;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;Africa;1920;0;0;0
